﻿﻿﻿﻿chapter,arabic,korean,example_sentence,sentence_korean
7과,جَامِعَةُ,대학교,أَيْنَ جَامِعَةُ الْأَزْهَرِ؟ لَا، لَيْسَتْ فِي دِمَشْقَ.,"아즈하르 (대학교)는 어디 있니? 아니, 다마스쿠스에 없어."
7과,كِتَابِي,책,أَيْنَ كِتَابِي؟ لَا، لَيْسَ عَلَى الطَّاوِلَةِ.,"내 (책) 어디 있지? 아니, 탁자 위에 없어."
7과,تَدْرُسُ,공부하니,أَيْنَ تَدْرُسُ اللُّغَةَ الْعَرَبِيَّةَ؟ لَا، لَسْتُ أَدْرُسُ فِي مِصْرَ.,"너는 아랍어를 어디서 (공부하니)? 아니, 난 이집트에서 공부 안 해."
7과,لَيْسُوا,않다,هُمْ طُلَّابٌ فِي تِلْكَ الْجَامِعَةِ. هُمْ لَيْسُوا طُلَّابًا.,그들은 저 대학의 학생들이 (않다).
7과,لَسْنَ,않다,هُنَّ مُعَلِّمَاتٌ مِنْ لُبْنَانَ. هُنَّ لَسْنَ مُعَلِّمَاتٍ.,그녀들은 레바논에서 온 여교사들이 (않다).
7과,لَسْتُمْ,않다,أَنْتُمْ طُلَّابٌ جُدُدٌ. أَنْتُمْ لَسْتُمْ طُلَّابًا جُدُدًا.,너희들은 신입생들이 (않다).
7과,لَسْتُنَّ,않다,أَنْتُنَّ أُسْتَاذَاتٌ فِي جَامِعَةِ دِمَشْقَ. أَنْتُنَّ لَسْتُنَّ أُسْتَاذَاتٍ.,당신들(여)은 다마스쿠스 대학교의 교수들이 (않다).
7과,لَسْنَ,않다,مَرْيَمُ وَسَمِيرَةُ وَهِنْدُ مِنْ تُونِسَ. لَسْنَ مِنْ تُونِسَ.,마르얌과 사미라와 힌드는 튀니지 출신이 (않다).
7과,لَيْسُوا,않다,اَلْمُوَظَّفُونَ فِي هٰذِهِ الشَّرِكَةِ جُدُدٌ. لَيْسُوا جُدُدًا.,이 회사의 직원들은 신입이 (않다).
7과,لَسْنَ,없다,اَلطَّالِبَاتُ فِي الصَّفِّ الْآنَ. لَسْنَ فِي الصَّفِّ الْآنَ.,여학생들은 지금 교실에 (없다).
7과,مُحَاضَرَةُ,강의,مُحَاضَرَةُ أُسْتَاذِ الْجَامِعَةِ.,그 대학 교수의 (강의)
7과,عُنْوَانُ,주소,عُنْوَانُ بَيْتِ رَئِيسِ جَامِعَةِ الْقَاهِرَةِ.,카이로 대학교 총장의 집 (주소)
7과,وَالْعَالَمُ,세계,أَقْرَأُ كِتَابًا بِعُنْوَان اللُّغَةُ الْعَرَبِيَّةُ وَالْعَالَمُ الْعَرَبِيُّ.,나는 '아랍어와 아랍 (세계)'라는 제목의 책을 읽는다.
7과,ثَقَافَةِ,문화,أَقْرَأُ كِتَابًا عَنْ ثَقَافَةِ مِصْرَ الْقَدِيمَةِ.,나는 고대 이집트 (문화)에 대한 책을 읽는다.
7과,حَقِيبَةُ,가방,هٰذِهِ حَقِيبَةُ صَدِيقَةِ فَاطِمَةَ.,이것은 파티마 친구의 (가방)이다.
7과,رَقْمُ,번호,مَا رَقْمُ هَاتِفِ الْمُدَرِّسِ؟,선생님의 전화 (번호)는 무엇입니까?
7과,مُدِيرُ,이사,مُدِيرُ شَرِكَةِ الْبِتْرُولِ رَجُلٌ غَرْبِيٌّ.,그 석유 회사의 (이사)는 서구 남성이다.
7과,عُنْوَانُ,제목,عُنْوَانُ مُحَاضَرَةِ السَّفِيرِ السُّعُودِيِّ هُوَ الْعَلَاقَاتُ السُّعُودِيَّةُ الْكُورِيَّةُ.,사우디 대사의 강의 (제목)은 '한국-사우디 관계'이다.
7과,السَّلَامُ,평화,السَّلَامُ عَلَيْكُمْ.,당신에게 (평화)가 있기를 (안녕하세요).
7과,أَذْهَبُ,간다,أَذْهَبُ إِلَيْكَ.,나는 네게 (간다).
7과,عَنْهُ,그것,أَقْرَأُ عَنْهُ.,나는 (그것)에 대해 읽는다.
7과,أَمَامَهُ,앞,الْمَتْحَفُ أَمَامَهُ.,박물관은 그 (앞)에 있다.
7과,عَلَيْهَا,위,عَلَيْهَا قَلَمٌ وَكِتَابٌ.,그 (위)에 펜과 책이 있다.
7과,إِلَيْهِمْ,그들,أَذْهَبُ إِلَيْهِمْ الْآنَ.,나는 지금 (그들)에게 간다.
7과,مَعَهَا,그녀,أَذْهَبُ مَعَهَا.,나는 (그녀)와 함께 간다.
7과,لِي,나,لِي وَلَدٌ فِي فَرَنْسَا.,(나)에게는 프랑스에 있는 아들이 한 명 있다.
7과,إِلَيَّ,나,سَيَحْضُرُ سَامِي إِلَيَّ.,사미가 (나)에게 올 것이다.
7과,يَدْرُسُ,공부하고,مِين سُو يَدْرُسُ الْآنَ اللُّغَةَ الْعَرَبِيَّةَ فِي تُونِسَ.,민수는 지금 튀니지에서 아랍어를 (공부하고) 있다.
7과,الْيَوْمَ,오늘,سَيَذْهَبُ الْيَوْمَ لِحُضُورِ مُحَاضَرَةِ أُسْتَاذٍ تُونِسِيٍّ.,그는 (오늘) 튀니지인 교수의 강의를 참석하러 갈 것이다.
7과,حُضُورِ,참석,سَيَذْهَبُ الْيَوْمَ لِحُضُورِ مُحَاضَرَةِ أُسْتَاذٍ تُونِسِيٍّ.,그는 오늘 튀니지인 교수의 강의를 (참석)하러 갈 것이다.
7과,مُحَاضَرَةِ,강의,سَيَذْهَبُ الْيَوْمَ لِحُضُورِ مُحَاضَرَةِ أُسْتَاذٍ تُونِسِيٍّ.,그는 오늘 튀니지인 교수의 (강의)를 참석하러 갈 것이다.
7과,بِعُنْوَان,제목,بِعُنْوَان الدُّوَلُ الْعَرَبِيَّةُ وَكُورِيَا., '아랍 국가들과 한국'이라는 (제목)으로.
7과,الدُّوَلُ,국가,بِعُنْوَان الدُّوَلُ الْعَرَبِيَّةُ وَكُورِيَا., '아랍 (국가)들과 한국'이라는 제목으로.
7과,الْعَالَمِ,세계,وَهُوَ أُسْتَاذٌ مَشْهُورٌ فِي الْعَالَمِ الْعَرَبِيِّ.,그리고 그는 아랍 (세계)에서 유명한 교수이다.
7과,انْتِهَاءِ,끝난,بَعْدَ انْتِهَاءِ الْمُحَاضَرَةِ سَيَذْهَبُ مِين سُو لِزِيَارَةِ الْمَتْحَفِ الْوَطَنِيِّ.,강의가 (끝난) 후 민수는 국립 박물관을 방문하러 갈 것이다.
7과,جَامِعِ,모스크,وَ جَامِعِ الزَّيْتُونَةِ فِي وَسَطِ الْمَدِينَةِ.,그리고 시내 중심에 있는 자이투나 (모스크)를.
7과,وَسَطِ,중심,وَ جَامِعِ الزَّيْتُونَةِ فِي وَسَطِ الْمَدِينَةِ.,그리고 시내 (중심)에 있는 자이투나 모스크를.
7과,مَرْكَزٌ,중심지,وَهُوَ مَرْكَزٌ لِدِرَاسَةِ الْعُلُومِ الْإِسْلَامِيَّةِ.,그리고 그곳은 이슬람 과학 연구의 (중심지)이다.
7과,الْعُلُومِ,과학,وَهُوَ مَرْكَزٌ لِدِرَاسَةِ الْعُلُومِ الْإِسْلَامِيَّةِ وَاللُّغَةِ الْعَرَبِيَّةِ.,그리고 그곳은 이슬람 (과학)과 아랍어 연구의 중심지이다.
7과,جَنُوبِ,남쪽,سَيَذْهَبُ مَعَ أَصْدِقَائِهِ الْأَجَانِبِ إِلَى جَنُوبِ تُونِسَ.,그는 외국인 친구들과 튀니지 (남쪽)으로 갈 것이다.
7과,شَمَالِ,북쪽,وَلَيْسَ إِلَى شَمَالِ تُونِسَ.,튀니지 (북쪽)이 아니라.
7과,بَعْضُهُمْ,일부,بَعْضُهُمْ مِنْ أُورُوبَّا، وَبَعْضُهُمُ الْآخَرُ مِنْ آسِيَا.,"그들 중 (일부)는 유럽 출신이고, 다른 일부는 아시아 출신이다."
7과,الْآخَرُ,다른,وَبَعْضُهُمُ الْآخَرُ مِنْ آسِيَا.,그들 중 (다른) 일부는 아시아 출신이다.
7과,آسِيَا,아시아,وَبَعْضُهُمُ الْآخَرُ مِنْ آسِيَا.,그들 중 다른 일부는 (아시아) 출신이다.
7과,سَيَرْجِعُ,돌아갈,وَبَعْدَ شَهْرَيْنِ سَيَرْجِعُ مِين سُو إِلَى كُورِيَا.,그리고 두 달 뒤 민수는 한국으로 (돌아갈) 것이다.
7과,طَرِيقِ,길,وَفِي طَرِيقِ الْعَوْدَةِ سَيَنْزِلُ فِي بَارِيس وَلَنْدَن.,그리고 돌아오는 (길)에 그는 파리와 런던에 머무를 것이다.
7과,الْعَوْدَةِ,귀국,وَفِي طَرِيقِ الْعَوْدَةِ سَيَنْزِلُ فِي بَارِيس وَلَنْدَن.,그리고 (귀국) 길에 그는 파리와 런던에 머무를 것이다.
7과,سَيَنْزِلُ,머무를,وَفِي طَرِيقِ الْعَوْدَةِ سَيَنْزِلُ فِي بَارِيس وَلَنْدَن.,그리고 돌아오는 길에 그는 파리와 런던에 (머무를) 것이다.
7과,أَقْرَأُ,읽는다,أَقْرَأُ عَنْهُ.,나는 그것에 대해 (읽는다).
7과,أَذْهَبُ,간다,أَذْهَبُ إِلَيْهِمْ الْآنَ.,나는 지금 그들에게 (간다).
7과,أَذْهَبُ,간다,أَذْهَبُ مَعَهَا.,나는 그녀와 함께 (간다).
7과,سَيَحْضُرُ,올,سَيَحْضُرُ سَامِي إِلَيَّ.,사미가 나에게 (올) 것이다.
8과,دَرَسَ,공부했다,دَرَسَ التَّارِيخَ فِي جَامِعَةِ الْقَاهِرَةِ.,그는 카이로 대학교에서 역사를 (공부했다).
8과,التَّارِيخَ,역사,دَرَسَ التَّارِيخَ فِي جَامِعَةِ الْقَاهِرَةِ.,그는 카이로 대학교에서 (역사)를 공부했다.
8과,ذَهَبَ,갔다,ثُمَّ ذَهَبَ إِلَى بِرِيطَانِيَا.,그러고 나서 그는 영국으로 (갔다).
8과,بِرِيطَانِيَا,영국,ثُمَّ ذَهَبَ إِلَى بِرِيطَانِيَا.,그러고 나서 그는 (영국)으로 갔다.
8과,لِلْحُصُولِ,취득하기,لِلْحُصُولِ عَلَى شَهَادَةِ الْمَاجِسْتِير.,석사 학위를 (취득하기) 위해서.
8과,شَهَادَةِ,학위,لِلْحُصُولِ عَلَى شَهَادَةِ الْمَاجِسْتِير.,석사 (학위)를 취득하기 위해서.
8과,الْمَاجِسْتِير,석사,لِلْحُصُولِ عَلَى شَهَادَةِ الْمَاجِسْتِير., (석사) 학위를 취득하기 위해서.
8과,بَدَأَ,시작했다,وَبَعْدَ الْحُصُولِ عَلَى شَهَادَةِ الْمَاجِسْتِير بَدَأَ الْعَمَلَ.,그리고 석사 학위를 취득한 후 일을 (시작했다).
8과,الْعَمَلَ,일,وَبَعْدَ الْحُصُولِ عَلَى شَهَادَةِ الْمَاجِسْتِير بَدَأَ الْعَمَلَ.,그리고 석사 학위를 취득한 후 (일)을 시작했다.
8과,قَرَأَ,읽었다,قَرَأَ فِيهَا كُتُبًا كَثِيرَةً.,그는 그곳에서 많은 책들을 (읽었다).
8과,كُتُبًا,책,قَرَأَ فِيهَا كُتُبًا كَثِيرَةً.,그는 그곳에서 많은 (책)들을 읽었다.
8과,جَاءَ,왔다,لِذٰلِكَ جَاءَ إِلَى كُورِيَا.,그래서 그는 한국으로 (왔다).
8과,كُورِيَا,한국,لِذٰلِكَ جَاءَ إِلَى كُورِيَا.,그래서 그는 (한국)으로 왔다.
8과,دِرَاسَةِ,공부,لِدِرَاسَةِ التَّارِيخِ الْكُورِيِّ.,한국 역사 (공부)를 위해서.
8과,زَوْجَةُ,부인,جَاءَتْ مَعَهُ زَوْجَةُ أَحْمَدَ مِصْرِيَّةٌ.,이집트인인 아흐마드의 (부인)이 그와 함께 왔다.
8과,جَاءَتْ,왔다,جَاءَتْ مَعَهُ زَوْجَةُ أَحْمَدَ.,아흐마드의 부인이 그와 함께 (왔다).
8과,لِمُدَّةِ,동안,دَرَسَ أَحْمَدُ التَّارِيخَ الْكُورِيَّ لِمُدَّةِ خَمْسِ سَنَوَاتٍ.,아흐마드는 5년 (동안) 한국 역사를 공부했다.
8과,سَنَوَاتٍ,년,دَرَسَ أَحْمَدُ التَّارِيخَ الْكُورِيَّ لِمُدَّةِ خَمْسِ سَنَوَاتٍ.,아흐마드는 5(년) 동안 한국 역사를 공부했다.
8과,الثَّقَافَةَ,문화,وَالثَّقَافَةَ الْكُورِيَّةَ.,그리고 한국 (문화)를 (공부했다).
8과,أَخِيرًا,마침내,وَأَخِيرًا حَصَلَ عَلَى شَهَادَةِ الدُّكْتُورَاه.,그리고 (마침내) 그는 박사 학위를 취득했다.
8과,حَصَلَ,취득했다,وَأَخِيرًا حَصَلَ عَلَى شَهَادَةِ الدُّكْتُورَاه.,그리고 마침내 그는 박사 학위를 (취득했다).
8과,الدُّكْتُورَاه,박사,وَأَخِيرًا حَصَلَ عَلَى شَهَادَةِ الدُّكْتُورَاه.,그리고 마침내 그는 (박사) 학위를 취득했다.
8과,تَحْصُلْ,취득하지,وَلٰكِنْ مَرْيَمُ لَمْ تَحْصُلْ عَلَى شَهَادَةٍ.,그러나 마르얌은 학위를 (취득하지) 못했다.
8과,شَهَادَةٍ,학위,وَلٰكِنْ مَرْيَمُ لَمْ تَحْصُلْ عَلَى شَهَادَةٍ.,그러나 마르얌은 (학위)를 취득하지 못했다.
8과,رَجَعَ,돌아갔다,رَجَعَ أَحْمَدُ إِلَى مِصْرَ.,아흐마드는 이집트로 (돌아갔다).
8과,يَعْمَلُ,일한다,وَهُوَ الْآنَ يَعْمَلُ أُسْتَاذًا.,그리고 그는 지금 교수로 (일한다).
8과,قِسْمِ,과,فِي قِسْمِ التَّارِيخِ بِجَامِعَةِ عَيْنِ شَمْسٍ.,아인 샴스 대학교 역사(과)에서.
8과,تَعْمَلُ,일한다,وَتَعْمَلُ زَوْجَتُهُ مَرْيَمُ مُدَرِّسَةً.,그리고 그의 아내 마르얌은 선생님으로 (일한다).
8과,ثَانَوِيَّةٍ,고등,فِي مَدْرَسَةٍ ثَانَوِيَّةٍ., (고등)학교에서.
8과,دَرَسْتُ,공부했다,دَرَسْتُ اللُّغَةَ الْعَرَبِيَّةَ فِي جَامِعَةِ هَانْكُوك.,나는 한국외대에서 아랍어를 (공부했다).
8과,الْعَرَبِيَّةَ,아랍어,دَرَسْتُ اللُّغَةَ الْعَرَبِيَّةَ فِي جَامِعَةِ هَانْكُوك.,나는 한국외대에서 (아랍어)를 공부했다.
8과,كَتَبْتُ,썼다,كَتَبْتُ رِسَالَةً لِأَخِي الْكَبِيرِ.,나는 우리 형에게 편지를 (썼다).
8과,رِسَالَةً,편지,كَتَبْتُ رِسَالَةً لِأَخِي الْكَبِيرِ.,나는 우리 형에게 (편지)를 썼다.
8과,شَرِبَ,마셨다,شَرِبَ الْقَهْوَةَ الْعَرَبِيَّةَ فِي الْمَقْهَى.,그는 카페에서 아랍 커피를 (마셨다).
8과,قَرَأْتُ,읽었다,قَرَأْتُ كِتَابًا جَدِيدًا أَمْسِ.,나는 어제 새 책을 (읽었다).
8과,كِتَابًا,책,قَرَأْتُ كِتَابًا جَدِيدًا أَمْسِ.,나는 어제 새 (책)을 읽었다.
8과,أَكَلْتَ,먹었니,هَلْ أَكَلْتَ الطَّعَامَ الْعَرَبِيَّ مِنْ قَبْلُ؟,너는 전에 아랍 음식을 (먹었니)?
8과,ذَهَبْتِ,갔니,هَلْ ذَهَبْتِ إِلَى تُونِسَ لِدِرَاسَةِ اللُّغَةِ الْعَرَبِيَّةِ؟,너(여)는 아랍어 공부를 위해 튀니지에 (갔니)?
8과,تُونِسَ,튀니지,هَلْ ذَهَبْتِ إِلَى تُونِسَ لِدِرَاسَةِ اللُّغَةِ الْعَرَبِيَّةِ؟,너는 아랍어 공부를 위해 (튀니지)에 갔니?
8과,خَرَجْتُ,나갔다,خَرَجْتُ مِنَ الْبَيْتِ صَبَاحًا.,나는 아침에 집에서 (나갔다).
8과,حَضَرْتَ,왔니,هَلْ حَضَرْتَ إِلَى كُورِيَا لِلْعَمَلِ؟,너는 일하러 한국에 (왔니)?
8과,ذَهَبُوا,갔니,هَلْ ذَهَبُوا إِلَى السِّينَمَا؟,그들은 영화관에 (갔니)?
8과,رَجَعْنَ,돌아왔니,هَلْ رَجَعْنَ مِنْ فَرَنْسَا الْيَوْمَ؟,그녀들은 오늘 프랑스에서 (돌아왔니)?
8과,شَرِبْتُمُ,마셨니,هَلْ شَرِبْتُمُ الْقَهْوَةَ التُّرْكِيَّةَ؟,너희들은 터키식 커피를 (마셨니)?
8과,دَرَسْتُنَّ,공부했니,مَاذَا دَرَسْتُنَّ فِي الْجَامِعَةِ؟,너희(여)들은 대학에서 무엇을 (공부했니)?
8과,أَكَلُوا,먹었다,أَكَلُوا الْكُسْكُسِي فِي تُونِسَ.,그들은 튀니지에서 쿠스쿠스를 (먹었다).
8과,وَصَلُوا,도착했다,وَصَلُوا إِلَى الْمَدْرَسَةِ قَبْلَ قَلِيلٍ.,그들은 조금 전에 학교에 (도착했다).
8과,قَرَأْنَ,읽었다,قَرَأْنَ مَقَالَةً بِعُنْوَان كُورِيَا وَالشَّرْقُ الْأَوْسَطُ.,그녀들은 '한국과 중동'이라는 제목의 기사를 (읽었다).
8과,مَقَالَةً,기사,قَرَأْنَ مَقَالَةً بِعُنْوَان كُورِيَا وَالشَّرْقُ الْأَوْسَطُ.,그녀들은 '한국과 중동'이라는 제목의 (기사)를 읽었다.
8과,بَدَأْنَا,시작했다,بَدَأْنَا دِرَاسَةَ الْعَرَبِيَّةِ قَبْلَ سَنَةٍ.,우리는 1년 전에 아랍어 공부를 (시작했다).
8과,بَحَثُوا,논의했다,بَحَثُوا الْوَضْعَ السِّيَاسِيَّ فِي الشَّرْقِ الْأَوْسَطِ.,그들은 중동의 정치 상황을 (논의했다/연구했다).
8과,زَارُوا,방문했다,زَارُوا مَكَّةَ لِلْحَجِّ.,그들은 성지순례(핫지)를 위해 메카를 (방문했다).
8과,مَكَّةَ,메카,زَارُوا مَكَّةَ لِلْحَجِّ.,그들은 성지순례를 위해 (메카)를 방문했다.
8과,بَدَأَ,시작했다,اَلطُّلَّابُ بَدَأَ كِتَابَةَ النَّصِّ الْأَسَاسِيِّ.,학생들이 기본 텍스트 쓰기를 (시작했다). (동사문->명사문 변환)
8과,رَجَعَ,돌아왔다,رَجَعَ رَئِيسُ الْجَامِعَةِ مِنَ الْإِمَارَاتِ.,대학 총장이 에미리트에서 (돌아왔다).
8과,ذَهَبَ,갔다,ذَهَبَ الْمُدِيرَاتُ إِلَى الشَّرِكَةِ.,여이사가 회사로 (갔다). (수일치 주의)
8과,شَرِبَ,마셨다,شَرِبَ فَاطِمَةُ وَسَلِيمٌ وَسَمِيرٌ عَصِيرَ بُرْتُقَالٍ.,파티마와 살림과 사미르는 오렌지 주스를 (마셨다).
8과,حَضَرَ,참석했다,أَصْدِقَائِي حَضَرَ إِلَى الْمَطْعَمِ.,내 친구들이 식당에 (참석했다/왔다).
8과,سَمِعَتْ,들었다,سَمِيرَةُ سَمِعَتْ دَرْسَ اللُّغَةِ الْكُورِيَّةِ.,사미라는 한국어 수업을 (들었다).
8과,كَتَبَ,썼다,اَلْأَسَاتِذَةُ كَتَبَ كِتَابًا بِعُنْوَان اللُّغَةُ الْعَرَبِيَّةُ فِي الْعَالَمِ.,교수들이 '세계 속의 아랍어'라는 제목의 책을 (썼다).
8과,يَشْرَبُوا,마시지,لَمْ يَشْرَبُوا الْقَهْوَةَ الْعَرَبِيَّةَ.,그들은 아랍 커피를 (마시지) 않았다. (부정문)
8과,أَدْرُسْ,공부하지,لَمْ أَدْرُسْ دَرْسًا جَدِيدًا فِي الْكِتَابِ.,나는 책의 새 과를 (공부하지) 않았다.
8과,يَحْصُلْ,취득하지,لَمْ يَحْصُلْ عَلَى شَهَادَةِ الْمَاجِسْتِير فِي الْاقْتِصَادِ.,그는 경제학 석사 학위를 (취득하지) 않았다.
8과,أَرْجِعْ,돌아가지,لَمْ أَرْجِعْ إِلَى بَلَدِي بَعْدَ زِيَارَةِ لَنْدَن.,나는 런던 방문 후에 내 나라로 (돌아가지) 않았다.
8과,يَعْمَلُوا,일하지,لَمْ يَعْمَلُوا فِي الشَّرِكَةِ السُّعُودِيَّةِ.,그들은 사우디 회사에서 (일하지) 않았다.
8과,يَأْكُلُ,먹지,اَلطُّلَّابُ لَمْ يَأْكُلُ الطَّعَامَ الْإِيطَالِيَّ.,학생들은 이탈리아 음식을 (먹지) 않았다.
8과,يَحْضُرْنَ,참석하지,اَلْمُدَرِّسَاتُ لَمْ يَحْضُرْنَ الْاجْتِمَاعَ.,여선생님들은 회의에 (참석하지) 않았다.
9과,مُرَاسِلُو,기자,حَضَرَ إِلَى كُورِيَا مُرَاسِلُو جَرِيدَةِ الْأَهْرَامِ الْمِصْرِيَّةِ.,이집트 '알-아흐람' 신문의 (기자)들이 한국에 왔다.
9과,حَضَرَ,왔다,حَضَرَ إِلَى كُورِيَا مُرَاسِلُو جَرِيدَةِ الْأَهْرَامِ الْمِصْرِيَّةِ.,이집트 '알-아흐람' 신문의 기자들이 한국에 (왔다).
9과,مَرْكَزِ,센터,ذَهَبُوا إِلَى مَرْكَزِ الصَّحَافَةِ.,그들은 언론 (센터)로 갔다.
9과,ذَهَبُوا,갔다,ذَهَبُوا إِلَى مَرْكَزِ الصَّحَافَةِ.,그들은 언론 센터로 (갔다).
9과,الصَّحَافَةِ,언론,سَمِعُوا مِنْ مُدِيرِ الْمَرْكَزِ عَنْ وَضْعِ الصَّحَافَةِ.,그들은 센터장으로부터 (언론) 현황에 대해 들었다.
9과,سَمِعُوا,들었다,سَمِعُوا مِنْ مُدِيرِ الْمَرْكَزِ عَنْ وَضْعِ الصَّحَافَةِ.,그들은 센터장으로부터 언론 현황에 대해 (들었다).
9과,السِّيَاحِيَّةِ,관광,زَارُوا بَعْضَ الْأَمَاكِنِ السِّيَاحِيَّةِ.,그들은 몇몇 (관광)지를 방문했다.
9과,زَارُوا,방문했다,زَارُوا بَعْضَ الْأَمَاكِنِ السِّيَاحِيَّةِ.,그들은 몇몇 관광지를 (방문했다).
9과,الْأَطْبَاقَ,요리,أَكَلُوا الْأَطْبَاقَ الْكُورِيَّةَ التَّقْلِيدِيَّةَ.,그들은 한국 전통 (요리)들을 먹었다.
9과,التَّقْلِيدِيَّةَ,전통적인,أَكَلُوا الْأَطْبَاقَ الْكُورِيَّةَ التَّقْلِيدِيَّةَ.,그들은 (전통적인) 한국 요리들을 먹었다.
9과,أَكَلُوا,먹었다,أَكَلُوا الْأَطْبَاقَ الْكُورِيَّةَ التَّقْلِيدِيَّةَ.,그들은 한국 전통 요리들을 (먹었다).
9과,الشَّايَ,차,شَرِبُوا الشَّايَ الْكُورِيَّ.,그들은 한국 (차)를 마셨다.
9과,شَرِبُوا,마셨다,شَرِبُوا الشَّايَ الْكُورِيَّ.,그들은 한국 차를 (마셨다).
9과,تَفَاصِيلَ,상세,نَشَرُوا تَفَاصِيلَ زِيَارَتِهِمْ.,그들은 그들의 방문 (상세) 내용을 보도했다.
9과,نَشَرُوا,보도했다,نَشَرُوا تَفَاصِيلَ زِيَارَتِهِمْ.,그들은 그들의 방문 상세 내용을 (보도했다/출판했다).
9과,كُنْتُ,이었다,كُنْتُ طَبَّاخًا.,나는 요리사(이었다).
9과,طَبَّاخًا,요리사,كُنْتُ طَبَّاخًا.,나는 (요리사)였다.
9과,كَانَ,이었다,كَانَ سَامِي خَبَّازًا.,사미는 제빵사(이었다).
9과,كَانَ,있었다,كَانَ بَيْتِي قَرِيبًا مِنَ الْمَدْرَسَةِ.,내 집은 학교에서 가까이 (있었다).
9과,كَانَ,있었다,كَانَ كِتَابُ الْعَرَبِيَّةِ عَلَى الطَّاوِلَةِ.,그 아랍어 책은 탁자 위에 (있었다).
9과,كَانَتْ,이었다,كَانَتْ وَدَادُ مُوَظَّفَةً فِي شَرِكَةٍ.,와다드는 회사의 직원(이었다).
9과,كَانَ,어려웠다,كَانَ الْامْتِحَانُ صَعْبًا جِدًّا.,시험은 매우 (어려웠다).
9과,كُنَّا,이었다,كُنَّا طُلَّابًا جُدُدًا.,우리는 신입생들(이었다).
9과,كَانَ,있었다,كَانَ هُنَاكَ مُدَرِّسٌ فِي الصَّفِّ.,교실에 선생님이 (있었다).
9과,كُنْتُ,이었다,كُنْتُ طَالِبًا فِي الْجَامِعَةِ.,나는 대학생(이었다).
9과,كَانَ,이었다,كَانَ أَحْمَدُ طَالِبًا.,아흐마드는 학생(이었다).
9과,كَانَتْ,이었다,كَانَتْ مَرْيَمُ مُدَرِّسَةً.,마르얌은 선생님(이었다).
9과,كَانَتْ,이었다,كَانَتْ مَدِينَةُ دُبَي صَغِيرَةً جِدًّا.,두바이 도시는 매우 작았(었다).
9과,كَانَ,있었다,كَانَ كِتَابِي عَلَى الْمَكْتَبِ.,내 책은 책상 위에 (있었다).
9과,كَانَ,이었다,كَانَ عَلِيٌّ وَسَمِيرٌ وَزِيرَيْ مُهَنْدِسُونَ.,알리와 사미르는 공학부 장관(이었다).
9과,كُنْتُمْ,이었다,هَلْ كُنْتُمْ طُلَّابًا قَلِيلٍ.,너희들은 소수의 학생들(이었니)?
9과,كَانُوا,이었다,كَانُوا مُوَظَّفِينَ فِي الشَّرِكَةِ.,그들은 회사 직원들(이었다).
9과,كُنَّ,이었다,كُنَّ مُوَظَّفَاتٍ فِي الْبَنْكِ.,그녀들은 은행 직원들(이었다).
9과,كَانَ,추웠다,كَانَ الْجَوُّ بَارِدًا فِي الشِّتَاءِ.,겨울에 날씨가 (추웠다).
9과,كُنَّا,이었다,كُنَّا طُلَّابًا جُدُدًا فِي هٰذِهِ الْجَامِعَةِ.,우리는 이 대학의 신입생들(이었다).
9과,كَانَ,했다,كَانَ يَغْسِلُ الْمَلَابِسَ فِي نِهَايَةِ الْأُسْبُوعِ.,그는 주말에 빨래를 하곤 (했다). (과거 습관)
9과,يَغْسِلُ,빨래를,كَانَ يَغْسِلُ الْمَلَابِسَ فِي نِهَايَةِ الْأُسْبُوعِ.,그는 주말에 (빨래를) 하곤 했다.
9과,كَانَ,했다,كَانَ يَلْعَبُ كُرَةَ الْقَدَمِ مَعَ الْأَصْدِقَاءِ.,그는 친구들과 축구를 하곤 (했다).
9과,كُنْتَ,하고,مَاذَا كُنْتَ تَفْعَلُ فِي ذٰلِكَ الْوَقْتِ؟,그 시간에 너는 무엇을 (하고) 있었니?
9과,كُنْتُ,있었다,كُنْتُ أَسْمَعُ الْأَخْبَارَ فِي ذٰلِكَ الْوَقْتِ.,나는 그 때 뉴스를 듣고 (있었다).
9과,أَسْمَعُ,듣고,كُنْتُ أَسْمَعُ الْأَخْبَارَ فِي ذٰلِكَ الْوَقْتِ.,나는 그 때 뉴스를 (듣고) 있었다.
9과,كَانَ,있었다,كَانَ يَجْلِسُ فِي الْمَقْهَى عِنْدَمَا ذَهَبْتُ إِلَى هُنَاكَ.,내가 그곳에 갔을 때 그는 카페에 앉아 (있었다).
9과,يَجْلِسُ,앉아,كَانَ يَجْلِسُ فِي الْمَقْهَى عِنْدَمَا ذَهَبْتُ إِلَى هُنَاكَ.,내가 그곳에 갔을 때 그는 카페에 (앉아) 있었다.
9과,كَانَ,알고,كَانَ يَعْرِفُ الْمُشْكِلَةَ.,그는 그 문제를 (알고) 있었다. (상태)
9과,كُنْتُ,좋아,كُنْتُ أُحِبُّ الْمُوسِيقَى الْغَرْبِيَّةَ.,나는 서양 음악을 (좋아)했었다.
9과,كَانَ,것이다,كَانَ سَيَدْرُسُ أَمْسِ.,그는 어제 공부하고 있었을 (것이다). (과거 예측)
